商品名称,价格,会员,级别,评价星级,评价内容,时间,点赞数,评论数,追评时间,追评内容,商品属性,页面网址,页面标题,采集时间,sku,好评度,评价关键词
"
                                                                                【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                ","
                                ￥
                                229.00
                                                            ",                                    u***1            ,                                 ,star5,手感不错，音质没问题，客服服务态度很好,2023-01-14 13:07,0,1,,,旗舰全功能5代1:1【1月空间音频降噪版】秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                                                                                     ,https://item.jd.com/10035789319416.html#none,【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代【图片 价格 品牌 报价】-京东,2023-01-14 13:40:05.266,10035789319416,99%        ,"十分舒服(10067)/
佩戴舒适(7015)/
做工精细(4822)/
音质清晰(4724)/
十分好用(4359)/
毫无杂音(4127)/
简单方便(3997)/
音质俱佳(2994)/
颜值够高(2748)/
反应灵敏(2277)/
毫无延迟(1250)/
灵敏度强(1197)/"
"
                                                                                【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                ","
                                ￥
                                229.00
                                                            ",                                    北***路            ,                                 ,star5,刚拿到 目前来说还可以 平价耳机有这个样子算可以了,2023-01-14 13:07,0,1,,,旗舰全功能5代1:1【1月空间音频降噪版】秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                                                                                     ,https://item.jd.com/10035789319416.html#none,【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代【图片 价格 品牌 报价】-京东,2023-01-14 13:40:05.336,10035789319416,99%        ,"十分舒服(10067)/
佩戴舒适(7015)/
做工精细(4822)/
音质清晰(4724)/
十分好用(4359)/
毫无杂音(4127)/
简单方便(3997)/
音质俱佳(2994)/
颜值够高(2748)/
反应灵敏(2277)/
毫无延迟(1250)/
灵敏度强(1197)/"
"
                                                                                【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                ","
                                ￥
                                229.00
                                                            ",                                    ****Y            ,                                 ,star5,东西还不错，不过就是安卓手机用起来，工能特别少，用起来一般般，安卓买的考虑一下，苹果用起来肯定是不错的,2023-01-14 12:58,0,1,,,旗舰全功能5代1:1【1月空间音频降噪版】秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                                                                                     ,https://item.jd.com/10035789319416.html#none,【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代【图片 价格 品牌 报价】-京东,2023-01-14 13:40:05.431,10035789319416,99%        ,"十分舒服(10067)/
佩戴舒适(7015)/
做工精细(4822)/
音质清晰(4724)/
十分好用(4359)/
毫无杂音(4127)/
简单方便(3997)/
音质俱佳(2994)/
颜值够高(2748)/
反应灵敏(2277)/
毫无延迟(1250)/
灵敏度强(1197)/"
"
                                                                                【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                ","
                                ￥
                                229.00
                                                            ",                                    l***n            ,                    PLUS会员             ,star5,音质特别赞，开启空间音频效果简直在现场一样，连接速度也很快，太值了，会推荐同事过来购买,2023-01-14 12:57,0,1,,,旗舰全功能5代1:1【1月空间音频降噪版】秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                                                                                     ,https://item.jd.com/10035789319416.html#none,【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代【图片 价格 品牌 报价】-京东,2023-01-14 13:40:05.496,10035789319416,99%        ,"十分舒服(10067)/
佩戴舒适(7015)/
做工精细(4822)/
音质清晰(4724)/
十分好用(4359)/
毫无杂音(4127)/
简单方便(3997)/
音质俱佳(2994)/
颜值够高(2748)/
反应灵敏(2277)/
毫无延迟(1250)/
灵敏度强(1197)/"
"
                                                                                【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                ","
                                ￥
                                229.00
                                                            ",                                    u***r            ,                                 ,star5,"很好
特别是送货上门而且一天就到货",2023-01-14 12:46,0,1,,,旗舰全功能5代1:1【1月空间音频降噪版】秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                                                                                     ,https://item.jd.com/10035789319416.html#none,【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代【图片 价格 品牌 报价】-京东,2023-01-14 13:40:05.567,10035789319416,99%        ,"十分舒服(10067)/
佩戴舒适(7015)/
做工精细(4822)/
音质清晰(4724)/
十分好用(4359)/
毫无杂音(4127)/
简单方便(3997)/
音质俱佳(2994)/
颜值够高(2748)/
反应灵敏(2277)/
毫无延迟(1250)/
灵敏度强(1197)/"
"
                                                                                【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                ","
                                ￥
                                229.00
                                                            ",                                    如***1            ,                    PLUS会员             ,star5,做工很好，很精致，音质也很舒服，续航刚刚的，大赞,2023-01-14 12:39,0,1,,,旗舰全功能5代1:1【1月空间音频降噪版】秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                                                                                     ,https://item.jd.com/10035789319416.html#none,【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代【图片 价格 品牌 报价】-京东,2023-01-14 13:40:05.633,10035789319416,99%        ,"十分舒服(10067)/
佩戴舒适(7015)/
做工精细(4822)/
音质清晰(4724)/
十分好用(4359)/
毫无杂音(4127)/
简单方便(3997)/
音质俱佳(2994)/
颜值够高(2748)/
反应灵敏(2277)/
毫无延迟(1250)/
灵敏度强(1197)/"
"
                                                                                【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                ","
                                ￥
                                229.00
                                                            ",                                    ****6            ,                                 ,star5,音效挺好的，戴起也挺大气的，很好，可以冲。,2023-01-14 12:39,0,1,,,旗舰全功能5代1:1【1月空间音频降噪版】秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                                                                                     ,https://item.jd.com/10035789319416.html#none,【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代【图片 价格 品牌 报价】-京东,2023-01-14 13:40:05.704,10035789319416,99%        ,"十分舒服(10067)/
佩戴舒适(7015)/
做工精细(4822)/
音质清晰(4724)/
十分好用(4359)/
毫无杂音(4127)/
简单方便(3997)/
音质俱佳(2994)/
颜值够高(2748)/
反应灵敏(2277)/
毫无延迟(1250)/
灵敏度强(1197)/"
"
                                                                                【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                ","
                                ￥
                                229.00
                                                            ",                                    ****2            ,                                 ,star5,快递给力，耳机不贵还好用，戴着挺舒适的没啥杂音,2023-01-14 12:38,0,1,,,旗舰全功能5代1:1【1月空间音频降噪版】秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                                                                                     ,https://item.jd.com/10035789319416.html#none,【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代【图片 价格 品牌 报价】-京东,2023-01-14 13:40:05.773,10035789319416,99%        ,"十分舒服(10067)/
佩戴舒适(7015)/
做工精细(4822)/
音质清晰(4724)/
十分好用(4359)/
毫无杂音(4127)/
简单方便(3997)/
音质俱佳(2994)/
颜值够高(2748)/
反应灵敏(2277)/
毫无延迟(1250)/
灵敏度强(1197)/"
"
                                                                                【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                ","
                                ￥
                                229.00
                                                            ",                                    冬***草            ,                                 ,star5,刚收到，拆开试了下音效不错，点赞?,2023-01-14 12:37,0,1,,,旗舰全功能5代1:1【1月空间音频降噪版】秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                                                                                     ,https://item.jd.com/10035789319416.html#none,【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代【图片 价格 品牌 报价】-京东,2023-01-14 13:40:05.840,10035789319416,99%        ,"十分舒服(10067)/
佩戴舒适(7015)/
做工精细(4822)/
音质清晰(4724)/
十分好用(4359)/
毫无杂音(4127)/
简单方便(3997)/
音质俱佳(2994)/
颜值够高(2748)/
反应灵敏(2277)/
毫无延迟(1250)/
灵敏度强(1197)/"
"
                                                                                【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                ","
                                ￥
                                229.00
                                                            ",                                    1***1            ,                                 ,star5,耳机收到，快递速度很快，带上听了下，感觉很不错，感觉音质挺不错的在这个价位，耳机盒外表也很光滑，总之挺不错的,2023-01-14 12:34,0,1,,,旗舰全功能5代1:1【1月空间音频降噪版】秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代                                                                                     ,https://item.jd.com/10035789319416.html#none,【华强北5代顶配版】维肯Air3苹果蓝牙耳机双耳无线降噪适用iphone14/13/12/11入耳 旗舰全功能5代1:1【1月空间音频降噪版】 秒连接+指纹触控+改名定位+蓝牙5.3四代升级五代【图片 价格 品牌 报价】-京东,2023-01-14 13:40:05.925,10035789319416,99%        ,"十分舒服(10067)/
佩戴舒适(7015)/
做工精细(4822)/
音质清晰(4724)/
十分好用(4359)/
毫无杂音(4127)/
简单方便(3997)/
音质俱佳(2994)/
颜值够高(2748)/
反应灵敏(2277)/
毫无延迟(1250)/
灵敏度强(1197)/"
