商品名称,价格,会员,级别,评价星级,评价内容,时间,点赞数,评论数,追评时间,追评内容,商品属性,页面网址,页面标题,采集时间,sku,好评度,评价关键词
"
                                                                                联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色                ","
                                ￥
                                169.00
                                                            ",                                    9***i            ,                                 ,star1,此用户未及时填写评价内容,2023-01-12 22:36,0,2,[购买68天后追评],成功让我不再想体验联想耳机，我不懂什么做工用料，但是，我的使用感官极差，这个耳机的暂停和播放，就跟大哥大一样的，使用，总感觉有人在向下拽耳机，自带一斤，还是半斤的负重打游戏，时不时麦的开关就会被身体蹭到关闭，我玩游戏都要这一部分放桌面上，一旦不在桌面上，不是麦自动关了，就是感觉有人在拽耳机，而且如果椅子和桌子高度正好凑巧，就会发生如下图所示。在不考虑材质，性能上，不推荐，联想的设计师都是依托答辩，都不戴耳机的？还是脑子装的都是浆糊，耳机向下咋，把脑子挤干，就有货了，是吗？,黑色                                                                                     ,https://item.jd.com/10029054124103.html#none,【联想（Lenovo）拯救者Star Y360】联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色【行情 报价 价格 评测】-京东,2023-01-14 20:22:51.135,10029054124103,96%        ,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/"
"
                                                                                联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色                ","
                                ￥
                                169.00
                                                            ",                                    睡***鼠            ,                    PLUS会员             ,star5,音质效果整体都还不错，用起来棒棒的～大赞呀！,2023-01-11 12:56,0,0,,,黑色                                                                                     ,https://item.jd.com/10029054124103.html#none,【联想（Lenovo）拯救者Star Y360】联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色【行情 报价 价格 评测】-京东,2023-01-14 20:22:51.234,10029054124103,96%        ,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/"
"
                                                                                联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色                ","
                                ￥
                                169.00
                                                            ",                                    柳***v            ,                    PLUS会员             ,star5,"音质很不错，外观很漂亮，
做工质感：做工精细，
音质音效：很清晰
舒适度：很舒服，不压耳朵",2023-01-09 11:17,0,0,,,黑色                                                                                     ,https://item.jd.com/10029054124103.html#none,【联想（Lenovo）拯救者Star Y360】联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色【行情 报价 价格 评测】-京东,2023-01-14 20:22:51.337,10029054124103,96%        ,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/"
"
                                                                                联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色                ","
                                ￥
                                169.00
                                                            ",                                    *****            ,                    PLUS会员             ,star5,音质不错，重量也不重，戴着很舒服,2023-01-09 10:42,0,0,,,黑色                                                                                     ,https://item.jd.com/10029054124103.html#none,【联想（Lenovo）拯救者Star Y360】联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色【行情 报价 价格 评测】-京东,2023-01-14 20:22:51.417,10029054124103,96%        ,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/"
"
                                                                                联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色                ","
                                ￥
                                169.00
                                                            ",                                    你***呦            ,                                 ,star5,东西收到，很满意！！京东平台真的是超级好的卖家，解答疑问不厌其烦，细致认真，关键是东西好，而且货物发得超快，包装仔细，值得信赖！,2023-01-09 10:24,0,0,,,黑色                                                                                     ,https://item.jd.com/10029054124103.html#none,【联想（Lenovo）拯救者Star Y360】联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色【行情 报价 价格 评测】-京东,2023-01-14 20:22:51.498,10029054124103,96%        ,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/"
"
                                                                                联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色                ","
                                ￥
                                169.00
                                                            ",                                    ****D            ,                                 ,star5,这个价格的耳机已经是非常不错了，也没有任何的明显缺陷，打游戏干什么都没什么问题 ，奔驰耳机,2023-01-09 10:18,0,0,,,黑色                                                                                     ,https://item.jd.com/10029054124103.html#none,【联想（Lenovo）拯救者Star Y360】联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色【行情 报价 价格 评测】-京东,2023-01-14 20:22:51.593,10029054124103,96%        ,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/"
"
                                                                                联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色                ","
                                ￥
                                169.00
                                                            ",                                    s***8            ,                    PLUS会员             ,star5,打游戏用，音质也不错,2023-01-09 09:31,0,0,,,黑色                                                                                     ,https://item.jd.com/10029054124103.html#none,【联想（Lenovo）拯救者Star Y360】联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色【行情 报价 价格 评测】-京东,2023-01-14 20:22:51.709,10029054124103,96%        ,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/"
"
                                                                                联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色                ","
                                ￥
                                169.00
                                                            ",                                    ****z            ,                    PLUS会员             ,star5,耳机做工还可以，戴久了有点夹耳朵。其他没啥问题！,2023-01-09 09:25,0,0,,,黑色                                                                                     ,https://item.jd.com/10029054124103.html#none,【联想（Lenovo）拯救者Star Y360】联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色【行情 报价 价格 评测】-京东,2023-01-14 20:22:51.779,10029054124103,96%        ,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/"
"
                                                                                联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色                ","
                                ￥
                                169.00
                                                            ",                                    枫***蜂            ,                    PLUS会员             ,star5,?商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！,2023-01-08 17:11,0,0,,,黑色                                                                                     ,https://item.jd.com/10029054124103.html#none,【联想（Lenovo）拯救者Star Y360】联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色【行情 报价 价格 评测】-京东,2023-01-14 20:22:51.864,10029054124103,96%        ,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/"
"
                                                                                联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色                ","
                                ￥
                                169.00
                                                            ",                                    ****2            ,                    PLUS会员             ,star5,耳机设计得很大气，外观很好看。戴在耳朵上也是比较舒服的，不会掉下来。没有任何压痛和不适感，戴的也发出稳固，音质清晰保真，不漏音 外观材质:样式简洁大方美观 佩戴感受:声音清晰，还可以隔绝噪音，打游戏听脚步声很清晰。,2023-01-07 15:42,0,0,,,黑色                                                                                     ,https://item.jd.com/10029054124103.html#none,【联想（Lenovo）拯救者Star Y360】联想（Lenovo） 拯救者Star Y360 游戏耳机 头戴式电脑耳麦 专业电竞耳机 黑色【行情 报价 价格 评测】-京东,2023-01-14 20:22:51.976,10029054124103,96%        ,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/"
